HMGA2	E4F1
NR5A1	PROX1
NR4A2	RCOR1
ETS1	PBX3
PIAS2	WT1
POU6F1	ALX4
ALX3	EN1
ETS2	HNF1A
SP100	FLI1
NR4A2	NCOA1
SREBF1	TWIST2
GLI2	MECP2
OTX1	LHX4
SOX1	NKX2-1
VSX1	HESX1
NFYC	ATF6B
ZNF354A	MYOCD
MYC	TCF4
TERF2	TCF7L2
SMARCC1	MTA3
IKZF1	RUNX2
HOXB9	MEOX2
PROP1	POU2F3
PAX5	SATB2
GLI3	LIN28A
DEAF1	ZIC5
ALX4	TP63
ZNF268	IKZF2
ZNF284	ZNF112
MAFG	FOSL1
ZNF99	ZNF248
ZNF92	ZNF548
NCOR1	CENPA
ZSCAN22	ZNF419
ETV3	GABPA
RARB	GSX1
ELK1	ETV6
SP1	GTF3A
OTX2	LHX4
HOXB9	BARX1
PROP1	HOXA11
HOXB4	LEF1
IRX3	ZHX3
ARID1A	BCL6
TCF21	NR5A1
HOXB1	POU4F1
MYC	CDX2
E2F3	NKX2-3
JUN	E2F2
HOXB7	TCF7L2
CBX2	PARP12
CDX2	GCM1
HOXD8	GABPA
HOXA3	DLX5
ZNF32	ZNF32
HOXA1	LHX4
CREB1	TEAD1
TP53	KLF1
RXRB	TFCP2
NKX2-8	NKX6-2
HOXA13	VAX2
MYF6	MEF2C
VEZF1	ZNF462
RUNX2	SP7
EVX2	ARX
ZNF614	ZNF566
NEUROG1	ONECUT1
RARG	HOXA13
MNT	KLF16
PRRX1	IRX2
PIAS2	PIAS4
HHEX	BARX1
ZIC3	POU5F1
HOXA7	HHEX
THRB	RUNX1
CDX1	DLX4
PIAS1	ELK1
PITX3	LHX8
SFPQ	CEBPA
VSX2	POU5F1
PAX7	GSX2
POU5F1B	PRRX2
POU2F1	MNX1
POU2F1	SOX21
MYOD1	PPARA
POU5F1	SOX7
HOXC8	MNX1
CREB3	NFE2L3
GRHL3	GRHL1
HOXC12	NKX2-4
FOXE1	HOXA5
GATAD2A	ZNF335
HOXB7	NKX3-1
TFAP4	ELMSAN1
PIAS4	IRF7
PAX4	PRRX2
ZNF558	ZNF670
SIX3	BARX2
NCOA1	NFE2L2
ZNF709	ZNF180
ZNF316	ZNF148
HOXB5	PBX3
HOXD10	PBX2
SOX10	TP63
NEUROD2	NKX3-1
NR2F6	BCL11A
SPDEF	ETV7
ZEB2	ZNF281
PAX4	KLF9
E2F1	ARID3A
EMX2	DBX2
DBP	BATF
IRX4	SIX1
POU4F3	NKX6-2
POU2F1	POU1F1
SFPQ	IRF7
HOXB4	ZHX3
HNF4G	HLF
ONECUT2	PAX8
HOXB5	NKX2-5
HOXA2	HOXB1
CRX	HOXD13
NKX2-1	EVX2
NKX2-8	SIX2
ZNF26	ZNF140
KLF9	PHOX2B
VSX2	VSX1
POU3F3	ZFHX4
